Date,Close,High,Low,Open,Volume,log_return,close_lag_1,return_lag_1,close_lag_2,return_lag_2,close_lag_3,return_lag_3,close_lag_5,return_lag_5,close_lag_10,return_lag_10,roll_mean_5,roll_std_5,roll_mean_10,roll_std_10,roll_mean_21,roll_std_21,ret_vol_5,ret_vol_21,momentum_5,momentum_21,day_of_week,month,quarter,target_close_t+1
2015-02-03,2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000,0.014336238577453099,2020.8499755859375,0.012879170000215516,1994.989990234375,-0.013077099006318498,2021.25,0.00948951705826357,2029.550048828125,-0.013478287815857576,2022.550048828125,0.001548752433400387,2017.856005859375,21.35924292103576,2032.3010131835938,23.14904963312011,2027.4404878162202,20.98777441777817,0.014114893030300769,0.0114005471269594,0.010090896985060827,-0.003969450038295963,1,2,1,2041.510009765625
2015-02-04,2041.510009765625,2054.739990234375,2036.719970703125,2048.860107421875,4141920000,-0.0041647065724529616,2050.030029296875,0.014336238577453099,2020.8499755859375,0.012879170000215516,1994.989990234375,-0.013077099006318498,2002.1600341796875,-0.01358750281102202,2032.1199951171875,0.004720465022189361,2025.7260009765625,21.379507073035068,2033.2400146484374,23.330623898043516,2028.4371570405506,21.14208801380245,0.011979611650915274,0.010658777895215672,0.0196537613947827,0.010358438748350629,2,2,1,2062.52001953125
2015-02-05,2062.52001953125,2063.550048828125,2043.449951171875,2043.449951171875,3821990000,0.010238810710909235,2041.510009765625,-0.0041647065724529616,2050.030029296875,0.014336238577453099,2020.8499755859375,0.012879170000215516,2021.25,0.00948951705826357,2063.14990234375,0.015154313070630327,2033.9800048828124,26.55868786754335,2033.1770263671874,23.24158086993415,2031.290015811012,21.52143299518724,0.012071463942686806,0.01063226595450111,0.020418067795299866,0.02991597695902337,3,2,1,2055.469970703125
2015-02-06,2055.469970703125,2072.39990234375,2049.969970703125,2062.280029296875,4232970000,-0.00342402761187852,2062.52001953125,0.010238810710909235,2041.510009765625,-0.0041647065724529616,2050.030029296875,0.014336238577453099,1994.989990234375,-0.013077099006318498,2051.820068359375,-0.005506656279301935,2046.0760009765625,16.058388665703163,2033.5420166015624,23.592889479045382,2032.6981084914435,22.110430287221607,0.009040372047613453,0.010417068843521315,0.030315931791539796,0.014595955344644862,4,2,1,2046.739990234375
2015-02-09,2046.739990234375,2056.159912109375,2041.8800048828125,2053.469970703125,3549540000,-0.004256239310481708,2055.469970703125,-0.00342402761187852,2062.52001953125,0.010238810710909235,2041.510009765625,-0.0041647065724529616,2020.8499755859375,0.012879170000215516,2057.090087890625,0.0025651679986232745,2051.25400390625,8.08574887041869,2032.5070068359375,22.653384098830468,2031.9647798084077,21.32660914479,0.009015740878752178,0.009698933533385337,0.012811448133813519,-0.007467923199185433,0,2,1,2068.590087890625
2015-02-10,2068.590087890625,2070.860107421875,2048.6201171875,2049.3798828125,3669850000,0.010618979554062366,2046.739990234375,-0.004256239310481708,2055.469970703125,-0.00342402761187852,2062.52001953125,0.010238810710909235,2050.030029296875,0.014336238577453099,2029.550048828125,-0.013478287815857576,2054.966015625,11.086747474463907,2036.4110107421875,25.29693651391478,2033.0971621558779,22.634010992242253,0.007882482434274179,0.00979601036978105,0.009053554498475114,0.011629456338467348,1,2,1,2068.530029296875
2015-02-11,2068.530029296875,2073.47998046875,2057.989990234375,2068.550048828125,3596860000,-2.9034010158247172e-05,2068.590087890625,0.010618979554062366,2046.739990234375,-0.004256239310481708,2055.469970703125,-0.00342402761187852,2041.510009765625,-0.0041647065724529616,2002.1600341796875,-0.01358750281102202,2060.37001953125,9.334960636761899,2043.0480102539063,23.984762072678965,2035.0147821335565,23.87554869376747,0.007294857749247752,0.00959467569843911,0.013235310824830204,0.01985446606320629,2,2,1,2088.47998046875
2015-02-12,2088.47998046875,2088.530029296875,2069.97998046875,2069.97998046875,3788350000,0.009598295065916026,2068.530029296875,-2.9034010158247172e-05,2068.590087890625,0.010618979554062366,2046.739990234375,-0.004256239310481708,2062.52001953125,0.010238810710909235,2021.25,0.00948951705826357,2065.56201171875,15.806086247803778,2049.7710083007814,26.487613340615052,2038.1314464750744,26.373987290569996,0.007131628406568288,0.009738446223373151,0.012586525556925299,0.032352436802246975,3,2,1,2096.989990234375
2015-02-13,2096.989990234375,2097.030029296875,2086.699951171875,2088.780029296875,3527450000,0.004066459227779422,2088.47998046875,0.009598295065916026,2068.530029296875,-2.9034010158247172e-05,2068.590087890625,0.010618979554062366,2055.469970703125,-0.00342402761187852,1994.989990234375,-0.013077099006318498,2073.866015625,19.624064227591244,2059.9710083007812,22.367176493917427,2042.2133498418898,28.55226382535507,0.006315750488739887,0.009603696383770366,0.020199769455667038,0.04261982223704752,4,2,1,2100.340087890625
2015-02-17,2100.340087890625,2101.300048828125,2089.800048828125,2096.469970703125,3361750000,0.0015962996977983961,2096.989990234375,0.004066459227779422,2088.47998046875,0.009598295065916026,2068.530029296875,-2.9034010158247172e-05,2046.739990234375,-0.004256239310481708,2020.8499755859375,0.012879170000215516,2084.58603515625,15.255136367100302,2067.92001953125,21.002525905298405,2047.3404947916667,28.87626532813891,0.004751848742760102,0.009251829368958074,0.026188034587682152,0.05403305192069596,1,2,1,2099.679931640625
